image,distortion,filename,path,detections,confidence_threshold
TCGA_CS_4941_19960909_1,original,TCGA_CS_4941_19960909_1_original.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_1_original.png,0,0.25
TCGA_CS_4941_19960909_1,gaussian_noise,TCGA_CS_4941_19960909_1_gaussian_noise.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_1_gaussian_noise.png,1,0.25
TCGA_CS_4941_19960909_1,salt_and_pepper,TCGA_CS_4941_19960909_1_salt_and_pepper.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_1_salt_and_pepper.png,1,0.25
TCGA_CS_4941_19960909_1,gaussian_blur,TCGA_CS_4941_19960909_1_gaussian_blur.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_1_gaussian_blur.png,0,0.25
TCGA_CS_4941_19960909_1,brightness_contrast,TCGA_CS_4941_19960909_1_brightness_contrast.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_1_brightness_contrast.png,0,0.25
TCGA_CS_4941_19960909_1,rotation,TCGA_CS_4941_19960909_1_rotation.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_1_rotation.png,0,0.25
TCGA_CS_4941_19960909_1,perspective_warp,TCGA_CS_4941_19960909_1_perspective_warp.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_1_perspective_warp.png,1,0.25
TCGA_CS_4941_19960909_1,barrel_distortion,TCGA_CS_4941_19960909_1_barrel_distortion.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_1_barrel_distortion.png,1,0.25
TCGA_CS_4941_19960909_1,pixelation,TCGA_CS_4941_19960909_1_pixelation.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_1_pixelation.png,0,0.25
TCGA_CS_4941_19960909_10,original,TCGA_CS_4941_19960909_10_original.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_10_original.png,1,0.25
TCGA_CS_4941_19960909_10,gaussian_noise,TCGA_CS_4941_19960909_10_gaussian_noise.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_10_gaussian_noise.png,1,0.25
TCGA_CS_4941_19960909_10,salt_and_pepper,TCGA_CS_4941_19960909_10_salt_and_pepper.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_10_salt_and_pepper.png,1,0.25
TCGA_CS_4941_19960909_10,gaussian_blur,TCGA_CS_4941_19960909_10_gaussian_blur.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_10_gaussian_blur.png,0,0.25
TCGA_CS_4941_19960909_10,brightness_contrast,TCGA_CS_4941_19960909_10_brightness_contrast.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_10_brightness_contrast.png,0,0.25
TCGA_CS_4941_19960909_10,rotation,TCGA_CS_4941_19960909_10_rotation.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_10_rotation.png,0,0.25
TCGA_CS_4941_19960909_10,perspective_warp,TCGA_CS_4941_19960909_10_perspective_warp.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_10_perspective_warp.png,2,0.25
TCGA_CS_4941_19960909_10,barrel_distortion,TCGA_CS_4941_19960909_10_barrel_distortion.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_10_barrel_distortion.png,1,0.25
TCGA_CS_4941_19960909_10,pixelation,TCGA_CS_4941_19960909_10_pixelation.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_10_pixelation.png,0,0.25
TCGA_CS_4941_19960909_11,original,TCGA_CS_4941_19960909_11_original.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_11_original.png,1,0.25
TCGA_CS_4941_19960909_11,gaussian_noise,TCGA_CS_4941_19960909_11_gaussian_noise.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_11_gaussian_noise.png,1,0.25
TCGA_CS_4941_19960909_11,salt_and_pepper,TCGA_CS_4941_19960909_11_salt_and_pepper.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_11_salt_and_pepper.png,2,0.25
TCGA_CS_4941_19960909_11,gaussian_blur,TCGA_CS_4941_19960909_11_gaussian_blur.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_11_gaussian_blur.png,0,0.25
TCGA_CS_4941_19960909_11,brightness_contrast,TCGA_CS_4941_19960909_11_brightness_contrast.png,results\results_augmented\distorted_images\TCGA_CS_4941_19960909_11_brightness_contrast.png,1,0.25
